Marque,Modele,Annee_modele,Km,Date_premiere_mise_en_circulation,Carburant,Boite_vitesse,Puissance,Critere_air,Couleur,Type_vehicule,Pays,Prix_neuf,Prix_occassion
Kia,Sportage,2007,16916,2008-11-17,Diesel,Manuelle,90,Euro 3,Blanc,Berline,Espagne,48039,23490.72
Dacia,Bigster,2006,73232,2009-05-08,Gaz,Automatique,110,Euro 3,Noir,Break,Italie,25000,11544.0
Volkswagen,Arteon,2007,65138,2008-03-26,Essence,Automatique,130,Euro 3,Bleu,Monospace,Italie,48000,21629.0
Renault,Captur,2009,125597,2009-03-04,Gaz,Automatique,90,Euro 3,Gris,Crossover,Japon,28000,13932.0
Audi,A4,2008,162492,2011-06-08,Diesel,Manuelle,150,Euro 3,Bleu,SUV,France,48000,17820.0
Tesla,Model 3,2015,243043,2016-03-08,Electrique,Automatique,110,Euro 1,Bleu,SUV,France,45000,26019.0
Renault,Clio,2022,241868,2024-01-10,Diesel,Automatique,150,Euro 6,Gris,Berline,Japon,17000,14350.0
Hyundai,i30,2022,104152,2024-08-12,Hybride,Automatique,150,Euro 1,Noir,Crossover,Allemagne,22000,23940.0
Citroen,C5 X,2024,15235,2026-07-25,Essence,Automatique,130,Euro 6,Noir,SUV,Allemagne,36700,38610.0
Tesla,Model X,2012,204971,2012-07-11,Electrique,Automatique,130,Euro 1,Blanc,Berline,USA,120000,56452.0
Volkswagen,Passat,2019,129720,2021-04-11,Electrique,Automatique,150,Euro 1,Blanc,Break,USA,36000,32485.0
Peugeot,5008,2006,77084,2009-02-10,Diesel,Manuelle,90,Euro 3,Bleu,Monospace,Japon,42000,16731.0
Ford,Focus,2013,139090,2016-10-03,Gaz,Automatique,200,Euro 4,Rouge,SUV,USA,30550,19467.0
BMW,Serie 1,2018,85452,2018-05-14,Hybride,Automatique,150,Euro 1,Noir,Crossover,Espagne,35000,30710.0
Volkswagen,Golf,2019,85933,2021-10-15,Diesel,Automatique,90,Euro 5,Gris,Crossover,USA,25000,21483.0
Volkswagen,Arteon,2010,205136,2013-02-13,Hybride,Manuelle,110,Euro 1,Blanc,Monospace,USA,48000,19798.0
Porsche,911 GT3,2005,100947,2007-09-12,Hybride,Manuelle,130,Euro 1,Bleu,Monospace,Italie,212200,71445.0
Volkswagen,Arteon,2018,15231,2021-05-25,Essence,Automatique,130,Euro 5,Gris,Berline,France,48000,40743.0
Toyota,Yaris,2011,47224,2011-03-26,Diesel,Automatique,200,Euro 4,Blanc,Berline,USA,19000,13110.0
Tesla,Model 3,2010,97989,2013-06-28,Electrique,Automatique,150,Euro 1,Blanc,SUV,Italie,45000,26215.0
Toyota,RAV4,2014,142747,2014-03-08,Diesel,Manuelle,110,Euro 4,Bleu,Monospace,Espagne,37000,21336.0
Peugeot,308,2020,158175,2021-12-10,Electrique,Manuelle,90,Euro 1,Blanc,Break,USA,30000,26207.0
Hyundai,i20,2009,80628,2009-10-24,Diesel,Automatique,150,Euro 3,Gris,Berline,Allemagne,19500,10810.0
Tesla,Model 3,2016,237652,2019-09-18,Electrique,Manuelle,90,Euro 1,Blanc,Berline,Allemagne,45000,26977.0
BMW,X5,2019,20561,2019-07-19,Electrique,Manuelle,200,Euro 1,Rouge,Monospace,Allemagne,80000,72210.0
Nissan,Leaf,2019,124564,2022-06-10,Gaz,Automatique,90,Euro 5,Rouge,Berline,Japon,33000,27302.0
Renault,Clio,2020,159390,2021-02-19,Electrique,Manuelle,130,Euro 1,Bleu,Monospace,Italie,17000,17009.0
Nissan,Ariya,2015,64130,2018-01-21,Hybride,Automatique,110,Euro 1,Blanc,SUV,USA,39300,30418.0
BMW,Serie 5,2016,59823,2019-06-03,Diesel,Automatique,200,Euro 5,Bleu,Crossover,Italie,65000,48990.0
Toyota,Hilux,2011,158165,2013-08-01,Gaz,Automatique,200,Euro 4,Rouge,Break,Italie,45000,23230.0
Porsche,911 Turbo,2015,132553,2015-09-03,Essence,Automatique,130,Euro 5,Blanc,Break,Japon,217386,131811.6
BMW,Serie 5,2023,173109,2025-10-05,Electrique,Automatique,150,Euro 1,Bleu,SUV,USA,65000,58800.0
Volkswagen,Arteon,2012,49874,2013-12-04,Hybride,Automatique,90,Euro 1,Noir,Monospace,Espagne,48000,32340.0
Mercedes,GLC,2020,167637,2020-11-03,Gaz,Automatique,110,Euro 6,Noir,Crossover,Japon,85000,64512.0
Porsche,Taycan 4 Cross Turismmo,2019,135789,2022-10-28,Hybride,Manuelle,90,Euro 1,Bleu,SUV,USA,117450,87372.0
Tesla,Model S,2011,239068,2012-04-17,Electrique,Manuelle,110,Euro 1,Bleu,Berline,Italie,95000,38418.0
Citroen,C3 Berlin,2018,185462,2018-09-01,Diesel,Manuelle,200,Euro 5,Noir,Berline,Japon,21800,15232.0
BMW,Serie 5,2017,25153,2017-04-28,Hybride,Automatique,90,Euro 1,Bleu,Monospace,USA,65000,54593.0
Nissan,X-Trail,2020,136438,2020-05-18,Diesel,Manuelle,130,Euro 6,Gris,Crossover,France,43800,33825.0
Mercedes,Classe A,2015,184886,2016-06-21,Gaz,Manuelle,130,Euro 5,Bleu,Monospace,Japon,38000,22440.0
Citroen,C4,2016,74748,2018-10-09,Essence,Automatique,150,Euro 5,Blanc,Break,France,24000,18285.0
Citroen,C5 X,2019,48499,2019-02-19,Essence,Manuelle,150,Euro 5,Gris,Break,Italie,36700,30132.0
Audi,A3,2023,151228,2024-04-14,Hybride,Manuelle,200,Euro 1,Blanc,Break,Italie,34000,31980.0
Mercedes,Classe C,2005,201178,2007-03-29,Essence,Automatique,150,Euro 3,Noir,SUV,France,55000,13225.0
Toyota,Yaris,2022,159782,2024-02-19,Essence,Manuelle,150,Euro 6,Rouge,Break,France,19000,15405.0
Dacia,Sandero,2009,181153,2012-04-27,Diesel,Automatique,90,Euro 3,Noir,Crossover,USA,15900,6956.0
Toyota,Hilux,2005,31081,2007-05-12,Diesel,Automatique,110,Euro 3,Rouge,Berline,Espagne,45000,19240.0
Porsche,Carrera 4 GTS Cabriolet,2024,152615,2026-08-04,Essence,Manuelle,130,Euro 6,Noir,Berline,France,197400,168045.0
Dacia,Spring,2008,174546,2009-11-21,Gaz,Automatique,200,Euro 3,Bleu,Break,Espagne,22000,9625.0
Kia,Sportage,2007,120614,2010-04-21,Diesel,Automatique,130,Euro 3,Blanc,SUV,USA,48039,18995.43
Hyundai,Tucson,2023,185048,2025-05-10,Essence,Manuelle,110,Euro 6,Bleu,Crossover,Espagne,35000,27729.0
Renault,Megane,2022,208828,2022-03-24,Diesel,Manuelle,130,Euro 6,Rouge,SUV,Japon,25000,19462.0
Mercedes,Classe A,2006,29357,2009-03-11,Essence,Automatique,130,Euro 3,Rouge,Break,Italie,38000,17732.0
Audi,Q5,2015,107282,2018-06-19,Essence,Manuelle,130,Euro 5,Noir,SUV,Italie,65000,41139.0
Dacia,Duster,2011,28203,2012-08-23,Diesel,Manuelle,90,Euro 4,Bleu,Berline,Italie,19900,12272.0
Peugeot,3008,2010,49564,2010-05-10,Diesel,Automatique,150,Euro 4,Gris,Berline,USA,35000,20790.0
Nissan,Ariya,2010,83735,2013-08-03,Essence,Manuelle,200,Euro 4,Rouge,SUV,USA,39300,20150.0
Tesla,Model X,2019,144455,2021-11-08,Electrique,Manuelle,90,Euro 1,Gris,SUV,Japon,120000,89389.0
Mercedes,Classe A,2006,202223,2008-07-03,Gaz,Automatique,110,Euro 3,Rouge,Break,Espagne,38000,11076.0
Volkswagen,Passat,2023,70342,2026-04-01,Diesel,Manuelle,200,Euro 6,Blanc,Monospace,USA,36000,34200.0
Citroen,C4,2010,173099,2012-09-17,Hybride,Automatique,110,Euro 1,Blanc,Break,Italie,24000,12341.0
Renault,Clio,2015,243158,2015-01-11,Hybride,Manuelle,130,Euro 1,Gris,Monospace,France,17000,10437.0
Mercedes,Classe E,2016,22528,2017-08-01,Gaz,Automatique,90,Euro 5,Rouge,Crossover,Espagne,75000,58756.0
Dacia,Spring,2013,232401,2013-01-16,Gaz,Manuelle,90,Euro 4,Rouge,SUV,Espagne,22000,10736.0
Hyundai,i30,2012,200193,2014-05-22,Hybride,Automatique,200,Euro 1,Blanc,Monospace,Italie,22000,12760.0
Renault,Megane,2013,31524,2013-09-29,Hybride,Manuelle,90,Euro 1,Noir,SUV,Allemagne,25000,18496.0
Ford,Focus,2005,35042,2008-12-26,Gaz,Manuelle,90,Euro 3,Rouge,Berline,Allemagne,30550,13180.0
Tesla,Model X,2012,164442,2014-04-18,Electrique,Manuelle,150,Euro 1,Noir,Break,Italie,120000,60720.0
Tesla,Model 3,2022,190735,2024-08-06,Electrique,Manuelle,130,Euro 1,Blanc,SUV,France,45000,38475.0
Nissan,Ariya,2015,20068,2018-08-20,Essence,Automatique,90,Euro 5,Gris,Crossover,France,39300,29252.0
Audi,Q5,2020,173911,2021-04-04,Diesel,Automatique,90,Euro 6,Rouge,Crossover,Italie,65000,48209.0
Ford,Mustang,2012,108977,2013-02-07,Essence,Automatique,200,Euro 4,Rouge,SUV,Japon,59300,33642.0
Volkswagen,Golf,2011,122512,2013-12-30,Diesel,Manuelle,90,Euro 4,Gris,Monospace,Espagne,25000,12691.0
Kia,Proceed,2018,219583,2021-12-12,Electrique,Automatique,200,Euro 1,Bleu,Berline,Italie,33000,25620.0
Renault,Talisman,2021,122401,2023-08-13,Diesel,Manuelle,90,Euro 6,Noir,Crossover,Espagne,40000,32311.0
Porsche,911 Turbo,2006,171150,2009-04-29,Hybride,Manuelle,110,Euro 1,Gris,SUV,USA,217386,64230.94
Nissan,Leaf,2023,138123,2026-04-26,Gaz,Manuelle,150,Euro 6,Blanc,Crossover,USA,33000,30240.0
Dacia,Duster,2008,159962,2011-05-18,Gaz,Manuelle,130,Euro 3,Rouge,Break,Allemagne,19900,8399.0
Renault,Clio,2019,196927,2020-05-04,Diesel,Manuelle,150,Euro 5,Blanc,Berline,Allemagne,17000,12210.0
Peugeot,5008,2008,113161,2008-02-13,Gaz,Manuelle,110,Euro 3,Bleu,Break,Allemagne,42000,18286.0
Citroen,C5 X,2018,63603,2019-12-01,Gaz,Automatique,150,Euro 5,Rouge,Monospace,Japon,36700,31692.0
Audi,A6,2024,23029,2027-03-29,Electrique,Manuelle,200,Euro 1,Rouge,Break,Italie,72000,77420.0
Hyundai,Tucson,2018,198995,2018-06-23,Diesel,Automatique,110,Euro 5,Rouge,Break,USA,35000,24003.0
Citroen,C4,2016,208185,2017-07-15,Diesel,Automatique,110,Euro 5,Blanc,Berline,Espagne,24000,15176.0
Hyundai,i20,2012,130611,2014-02-13,Diesel,Manuelle,130,Euro 4,Bleu,SUV,Espagne,19500,10608.0
Toyota,Hilux,2008,58768,2010-11-11,Diesel,Automatique,90,Euro 3,Blanc,Berline,Espagne,45000,22513.0
Porsche,Taycan 4 Cross Turismmo,2023,95795,2024-11-22,Hybride,Automatique,130,Euro 1,Noir,SUV,France,117450,108900.0
Toyota,Hilux,2024,212476,2025-09-25,Hybride,Automatique,110,Euro 1,Bleu,Break,France,45000,40369.0
Kia,Proceed,2010,88907,2011-06-02,Hybride,Automatique,200,Euro 1,Bleu,Break,France,33000,20000.0
BMW,Serie 5,2016,174673,2019-06-24,Gaz,Manuelle,90,Euro 5,Rouge,SUV,Allemagne,65000,39766.0
Volkswagen,Arteon,2013,131851,2013-07-22,Hybride,Automatique,90,Euro 1,Rouge,Monospace,Japon,48000,29106.0
Tesla,Model X,2011,206203,2013-11-27,Electrique,Manuelle,110,Euro 1,Blanc,SUV,Japon,120000,51701.0
Volkswagen,Tiguan,2009,104828,2009-03-02,Gaz,Manuelle,200,Euro 3,Noir,Monospace,USA,40000,19575.0
Dacia,Sandero,2016,191329,2018-09-29,Diesel,Manuelle,200,Euro 5,Noir,Monospace,Italie,15900,10203.0
Dacia,Bigster,2009,16178,2011-10-21,Essence,Automatique,110,Euro 3,Blanc,SUV,Espagne,25000,14634.0
Citroen,C5 X,2011,22030,2011-09-07,Hybride,Manuelle,130,Euro 1,Rouge,SUV,Italie,36700,24190.0
Hyundai,i20,2008,183893,2008-03-31,Gaz,Manuelle,150,Euro 3,Rouge,Berline,Italie,19500,7650.0
Peugeot,5008,2006,44106,2009-11-17,Essence,Automatique,150,Euro 3,Noir,Berline,Japon,42000,18690.0
Audi,Q5,2023,125128,2026-12-18,Electrique,Automatique,90,Euro 1,Bleu,Monospace,Japon,65000,61965.0
Volkswagen,Arteon,2011,209780,2012-02-29,Essence,Manuelle,200,Euro 4,Rouge,SUV,Italie,48000,20090.0
Kia,Sportage,2012,152272,2014-06-02,Essence,Manuelle,90,Euro 4,Rouge,Monospace,USA,48039,23490.11
Toyota,Hilux,2011,28687,2011-01-10,Diesel,Automatique,110,Euro 4,Bleu,Monospace,Espagne,45000,28379.0
Renault,Talisman,2010,16443,2010-09-15,Gaz,Manuelle,150,Euro 4,Blanc,Berline,Allemagne,40000,24510.0
Citroen,C3 Berlin,2015,36567,2016-02-25,Diesel,Automatique,200,Euro 5,Blanc,SUV,France,21800,18060.0
Porsche,911 GT3,2022,82925,2024-11-13,Hybride,Automatique,90,Euro 1,Rouge,Crossover,USA,212200,187566.0
Renault,Clio,2008,84098,2008-04-15,Essence,Automatique,150,Euro 3,Noir,Break,France,17000,8580.0
Audi,Q5,2006,210476,2007-12-07,Gaz,Automatique,200,Euro 3,Gris,Monospace,USA,65000,17625.0
BMW,Serie 1,2016,128462,2018-07-23,Essence,Manuelle,110,Euro 5,Blanc,Berline,Allemagne,35000,22464.0
Citroen,C5 X,2007,214868,2008-05-31,Gaz,Automatique,110,Euro 3,Rouge,Monospace,France,36700,11564.0
Porsche,911 GT3,2005,245507,2008-05-30,Essence,Automatique,150,Euro 3,Blanc,Monospace,France,212200,40793.0
Nissan,Ariya,2006,141574,2007-08-09,Gaz,Automatique,150,Euro 3,Rouge,Monospace,Japon,39300,14176.0
Renault,Captur,2008,102874,2009-08-23,Gaz,Manuelle,90,Euro 3,Bleu,Crossover,Italie,28000,12768.0
Citroen,C5 Aircross,2012,12389,2015-06-04,Diesel,Automatique,150,Euro 4,Rouge,Break,USA,35000,24255.0
Dacia,Duster,2020,113073,2022-06-23,Diesel,Manuelle,90,Euro 6,Blanc,Break,Japon,19900,16016.0
BMW,Serie 3,2009,170342,2010-03-06,Diesel,Automatique,200,Euro 3,Bleu,Crossover,Japon,45000,18620.0
Mercedes,Classe A,2020,117137,2023-04-09,Diesel,Manuelle,110,Euro 6,Bleu,Monospace,USA,38000,30107.0
Renault,Megane,2020,53991,2022-12-11,Diesel,Manuelle,150,Euro 6,Blanc,SUV,France,25000,21995.0
BMW,Serie 3,2015,83912,2018-02-26,Hybride,Manuelle,130,Euro 1,Gris,SUV,Japon,45000,32045.0
Hyundai,Tucson,2022,74967,2024-10-27,Electrique,Manuelle,130,Euro 1,Rouge,Crossover,USA,35000,35931.0
BMW,Serie 1,2013,128419,2014-07-12,Diesel,Manuelle,110,Euro 4,Blanc,Crossover,Allemagne,35000,19855.0
Hyundai,i20,2020,25205,2022-06-29,Gaz,Manuelle,130,Euro 6,Bleu,Berline,Allemagne,19500,19178.0
Audi,A3,2022,93367,2022-06-01,Electrique,Automatique,150,Euro 1,Blanc,Break,Italie,34000,36125.0
Citroen,C3 Berlin,2017,22586,2018-11-25,Diesel,Automatique,90,Euro 5,Gris,Berline,Italie,21800,19019.0
Nissan,Ariya,2010,21842,2013-08-30,Diesel,Manuelle,150,Euro 4,Bleu,Monospace,Allemagne,39300,22848.0
BMW,Serie 3,2019,141536,2022-02-10,Gaz,Manuelle,130,Euro 5,Blanc,Break,Japon,45000,33938.0
Volkswagen,Passat,2016,102770,2016-01-03,Gaz,Automatique,110,Euro 5,Rouge,Berline,France,36000,26796.0
Citroen,C5 X,2015,228947,2015-07-10,Diesel,Automatique,90,Euro 5,Gris,Crossover,Japon,36700,20196.0
Tesla,Model 3,2016,155492,2017-02-24,Electrique,Manuelle,90,Euro 1,Bleu,Berline,France,45000,31049.0
Tesla,Model S,2013,161058,2013-05-09,Electrique,Manuelle,90,Euro 1,Noir,Break,Espagne,95000,51459.0
Peugeot,308,2006,26054,2009-02-16,Gaz,Automatique,110,Euro 3,Gris,Berline,USA,30000,15224.0
Toyota,Hilux,2021,197160,2021-06-07,Gaz,Automatique,200,Euro 6,Bleu,Berline,USA,45000,36360.0
Audi,A6,2024,96033,2025-11-15,Gaz,Automatique,130,Euro 6,Rouge,SUV,Japon,72000,69888.0
Ford,Bronco,2022,136497,2025-09-03,Electrique,Manuelle,200,Euro 1,Bleu,Berline,Allemagne,76500,67635.0
Tesla,Model X,2024,27395,2026-02-26,Electrique,Manuelle,110,Euro 1,Gris,Break,Japon,120000,123578.0
Peugeot,3008,2017,202366,2019-11-30,Gaz,Automatique,90,Euro 5,Blanc,Break,France,35000,23246.0
Citroen,C5 Aircross,2008,11473,2010-12-02,Diesel,Manuelle,110,Euro 3,Rouge,Break,France,35000,18411.0
Mercedes,Classe A,2020,190845,2022-01-11,Diesel,Automatique,200,Euro 6,Blanc,Break,Espagne,38000,28980.0
Volkswagen,Passat,2013,141531,2014-09-21,Diesel,Manuelle,200,Euro 4,Gris,Berline,Italie,36000,20140.0
Hyundai,Tucson,2010,28938,2013-04-13,Gaz,Manuelle,110,Euro 4,Noir,Monospace,Japon,35000,21056.0
Kia,EV6,2011,227466,2012-01-09,Essence,Manuelle,130,Euro 4,Rouge,SUV,USA,64607,25313.73
Hyundai,i30,2006,190504,2006-04-25,Essence,Automatique,90,Euro 3,Blanc,Crossover,France,22000,6453.0
Hyundai,i20,2017,103261,2018-04-16,Essence,Automatique,130,Euro 5,Gris,Berline,Japon,19500,15042.0
Peugeot,208,2016,147732,2019-10-06,Essence,Automatique,90,Euro 5,Noir,Monospace,Espagne,18000,12338.0
Toyota,Yaris,2014,148732,2017-12-17,Hybride,Manuelle,200,Euro 1,Blanc,Break,Japon,19000,13440.0
Nissan,X-Trail,2010,129615,2011-08-22,Diesel,Manuelle,150,Euro 4,Rouge,Monospace,Espagne,43800,20838.0
Audi,A4,2013,27786,2014-02-23,Hybride,Automatique,130,Euro 1,Blanc,Berline,Japon,48000,35295.0
Tesla,Model X,2016,227433,2018-12-20,Electrique,Manuelle,110,Euro 1,Bleu,SUV,Allemagne,120000,68094.0
Kia,Niro,2019,63172,2020-12-16,Essence,Manuelle,130,Euro 5,Rouge,SUV,Allemagne,39811,31687.69
Kia,Proceed,2021,108283,2024-06-25,Gaz,Manuelle,130,Euro 6,Bleu,Crossover,Allemagne,33000,28998.0
BMW,X5,2022,149407,2024-06-29,Essence,Manuelle,90,Euro 6,Noir,Break,USA,80000,63920.0
BMW,Serie 5,2017,245598,2019-01-20,Essence,Manuelle,110,Euro 5,Blanc,SUV,France,65000,35805.0
Hyundai,i20,2016,152741,2018-02-10,Hybride,Manuelle,150,Euro 1,Blanc,Berline,Espagne,19500,14640.0
Tesla,Model 3,2005,120462,2005-12-12,Electrique,Automatique,110,Euro 1,Bleu,Crossover,Espagne,45000,16461.0
Nissan,Ariya,2007,176674,2009-07-27,Diesel,Manuelle,150,Euro 3,Gris,Break,Espagne,39300,13056.0
Audi,A3,2014,165952,2017-05-16,Gaz,Automatique,150,Euro 4,Rouge,Break,Italie,34000,21060.0
Peugeot,208,2024,162937,2024-07-28,Diesel,Manuelle,130,Euro 6,Gris,Monospace,Japon,18000,16212.0
Porsche,Taycan 4 Cross Turismmo,2018,44080,2021-06-29,Hybride,Manuelle,90,Euro 1,Blanc,SUV,USA,117450,94653.0
Tesla,Model 3,2010,23371,2010-04-22,Electrique,Manuelle,90,Euro 1,Gris,Break,Espagne,45000,28504.0
Mercedes,Classe E,2007,73961,2009-12-22,Diesel,Automatique,110,Euro 3,Gris,SUV,Italie,75000,32802.0
Dacia,Sandero,2010,242335,2011-07-11,Diesel,Automatique,150,Euro 4,Noir,Monospace,Allemagne,15900,6596.0
Kia,Sportage,2024,132529,2025-04-18,Gaz,Automatique,130,Euro 6,Gris,Berline,Espagne,48039,45969.93
Porsche,Carrera 4 GTS Cabriolet,2010,59272,2013-02-15,Hybride,Manuelle,130,Euro 1,Rouge,Monospace,Italie,197400,106901.0
Hyundai,i30,2007,232329,2010-11-02,Essence,Manuelle,150,Euro 3,Blanc,Berline,Italie,22000,5850.0
Nissan,Leaf,2014,215945,2017-12-08,Essence,Automatique,150,Euro 4,Gris,Break,France,33000,17395.0
Citroen,C5 Aircross,2021,50735,2022-11-05,Electrique,Manuelle,90,Euro 1,Rouge,Break,France,35000,35174.0
Porsche,911 GT3,2010,122547,2013-12-16,Hybride,Manuelle,130,Euro 1,Noir,Break,Japon,212200,99590.0
Hyundai,Tucson,2009,247530,2011-07-02,Diesel,Automatique,200,Euro 3,Rouge,Break,Espagne,35000,12090.0
Hyundai,i30,2008,221141,2010-04-21,Diesel,Manuelle,110,Euro 3,Noir,Crossover,Italie,22000,6930.0
Audi,A4,2015,66722,2018-07-06,Hybride,Manuelle,150,Euro 1,Rouge,SUV,Allemagne,48000,35175.0
Porsche,Taycan 4 Cross Turismmo,2023,169307,2023-01-28,Hybride,Automatique,130,Euro 1,Gris,Berline,Japon,117450,100237.5
Mercedes,GLC,2023,237875,2026-10-09,Hybride,Manuelle,150,Euro 1,Blanc,Crossover,France,85000,66230.0
Toyota,Yaris,2021,11537,2024-10-04,Essence,Automatique,90,Euro 6,Bleu,SUV,Allemagne,19000,18810.0
Citroen,C3 Berlin,2024,108134,2025-08-02,Diesel,Manuelle,200,Euro 6,Noir,Break,Espagne,21800,21420.0
Hyundai,i30,2014,156494,2015-09-13,Essence,Automatique,90,Euro 4,Noir,Break,Allemagne,22000,13145.0
Citroen,C3 Berlin,2018,19043,2018-11-12,Diesel,Automatique,90,Euro 5,Gris,Monospace,Allemagne,21800,20007.0
Citroen,C5 Aircross,2019,94116,2019-03-29,Hybride,Manuelle,90,Euro 1,Blanc,Crossover,France,35000,29564.0
Nissan,Qashqai,2011,222603,2014-05-06,Essence,Manuelle,200,Euro 4,Gris,Crossover,USA,34700,13923.0
Ford,Focus,2007,11312,2010-11-20,Essence,Manuelle,90,Euro 3,Blanc,Break,Allemagne,30550,14616.0
Peugeot,3008,2020,166901,2020-01-16,Essence,Manuelle,200,Euro 6,Noir,Monospace,Espagne,35000,25920.0
Nissan,Ariya,2008,92474,2011-12-24,Essence,Automatique,130,Euro 3,Noir,Monospace,Italie,39300,17888.0
Nissan,Qashqai,2015,108224,2016-09-22,Diesel,Automatique,110,Euro 5,Rouge,Break,Japon,34700,23814.0
Peugeot,5008,2017,197042,2017-11-01,Gaz,Manuelle,200,Euro 5,Rouge,Break,USA,42000,27300.0
Nissan,Qashqai,2016,73985,2016-05-23,Diesel,Automatique,110,Euro 5,Bleu,Berline,Espagne,34700,26082.0
